,행정동명,요일,도착시간,이동인구(합)
0,가양1동,주말,0,-3358.21
1,가양1동,주말,1,-2267.0550000000003
2,가양1동,주말,2,-1687.8850000000002
3,가양1동,주말,3,-1156.8399999999997
4,가양1동,주말,4,-533.6599999999999
5,가양1동,주말,5,286.625
6,가양1동,주말,6,2663.1850000000004
7,가양1동,주말,7,2251.2499999999995
8,가양1동,주말,8,1982.6050000000014
9,가양1동,주말,9,4116.605
10,가양1동,주말,10,5760.745000000003
11,가양1동,주말,11,7534.130000000001
12,가양1동,주말,12,9053.270000000004
13,가양1동,주말,13,8447.615000000002
14,가양1동,주말,14,5196.340000000004
15,가양1동,주말,15,2768.014999999996
16,가양1동,주말,16,298.4649999999965
17,가양1동,주말,17,2378.215
18,가양1동,주말,18,4558.829999999998
19,가양1동,주말,19,3210.2850000000035
20,가양1동,주말,20,75.58499999999913
21,가양1동,주말,21,-425.28999999999905
22,가양1동,주말,22,-1720.8649999999998
23,가양1동,주말,23,-1541.1500000000015
24,가양1동,평일,0,-3035.441999999999
25,가양1동,평일,1,-1308.4319999999998
26,가양1동,평일,2,-790.3720000000003
27,가양1동,평일,3,-220.1139999999998
28,가양1동,평일,4,264.01999999999975
29,가양1동,평일,5,2272.9119999999994
30,가양1동,평일,6,8271.002
31,가양1동,평일,7,17759.402
32,가양1동,평일,8,38546.324
33,가양1동,평일,9,23017.716000000004
34,가양1동,평일,10,12724.287999999999
35,가양1동,평일,11,14145.707999999999
36,가양1동,평일,12,15826.645999999997
37,가양1동,평일,13,9177.508000000005
38,가양1동,평일,14,2834.126
39,가양1동,평일,15,-279.3120000000017
40,가양1동,평일,16,-2291.8700000000026
41,가양1동,평일,17,-3425.4739999999983
42,가양1동,평일,18,-9185.866000000002
43,가양1동,평일,19,-12723.062000000005
44,가양1동,평일,20,-5637.654000000006
45,가양1동,평일,21,-4783.8240000000005
46,가양1동,평일,22,-6238.534
47,가양1동,평일,23,-5337.322
48,가양2동,주말,0,660.9799999999999
49,가양2동,주말,1,311.64
50,가양2동,주말,2,184.2199999999999
51,가양2동,주말,3,184.135
52,가양2동,주말,4,252.63500000000005
53,가양2동,주말,5,39.514999999999986
54,가양2동,주말,6,-246.75499999999988
55,가양2동,주말,7,146.29999999999995
56,가양2동,주말,8,-57.25999999999976
57,가양2동,주말,9,-31.30499999999938
58,가양2동,주말,10,-594.0700000000006
59,가양2동,주말,11,-1510.1800000000003
60,가양2동,주말,12,-903.6800000000003
61,가양2동,주말,13,4.234999999999673
62,가양2동,주말,14,286.27499999999964
63,가양2동,주말,15,516.5099999999993
64,가양2동,주말,16,873.125
65,가양2동,주말,17,126.95499999999993
66,가양2동,주말,18,1209.0
67,가양2동,주말,19,1308.1200000000008
68,가양2동,주말,20,1475.1799999999998
69,가양2동,주말,21,1631.6299999999997
70,가양2동,주말,22,1310.0299999999997
71,가양2동,주말,23,719.5649999999998
72,가양2동,평일,0,456.74
73,가양2동,평일,1,140.99000000000007
74,가양2동,평일,2,107.76799999999997
75,가양2동,평일,3,17.297999999999973
76,가양2동,평일,4,60.547999999999945
77,가양2동,평일,5,-125.62599999999986
78,가양2동,평일,6,-740.73
79,가양2동,평일,7,-749.1979999999999
80,가양2동,평일,8,-1319.17
81,가양2동,평일,9,-803.652
82,가양2동,평일,10,-42.85200000000077
83,가양2동,평일,11,-300.8239999999996
84,가양2동,평일,12,-338.34000000000015
85,가양2동,평일,13,-278.7459999999992
86,가양2동,평일,14,862.768
87,가양2동,평일,15,1479.5420000000004
88,가양2동,평일,16,1451.8899999999985
89,가양2동,평일,17,1166.326
90,가양2동,평일,18,1121.6760000000004
91,가양2동,평일,19,1548.434000000002
92,가양2동,평일,20,1713.2760000000007
93,가양2동,평일,21,1646.8759999999997
94,가양2동,평일,22,1431.614
95,가양2동,평일,23,854.8800000000003
96,가양3동,주말,0,746.4849999999999
97,가양3동,주말,1,207.77499999999986
98,가양3동,주말,2,296.85999999999996
99,가양3동,주말,3,129.35000000000002
100,가양3동,주말,4,14.210000000000036
101,가양3동,주말,5,166.425
102,가양3동,주말,6,-163.96000000000004
103,가양3동,주말,7,67.66000000000008
104,가양3동,주말,8,-106.22000000000003
105,가양3동,주말,9,-578.1749999999997
106,가양3동,주말,10,-1341.6900000000005
107,가양3동,주말,11,-1073.4899999999998
108,가양3동,주말,12,-1240.1449999999995
109,가양3동,주말,13,-738.5350000000003
110,가양3동,주말,14,-290.8299999999995
111,가양3동,주말,15,423.7699999999995
112,가양3동,주말,16,441.42999999999984
113,가양3동,주말,17,613.1299999999997
114,가양3동,주말,18,547.1300000000001
115,가양3동,주말,19,916.6350000000002
116,가양3동,주말,20,1188.2099999999996
117,가양3동,주말,21,1324.46
118,가양3동,주말,22,1001.645
119,가양3동,주말,23,680.4649999999999
120,가양3동,평일,0,640.29
121,가양3동,평일,1,195.55599999999993
122,가양3동,평일,2,136.462
123,가양3동,평일,3,30.855999999999995
124,가양3동,평일,4,-117.52799999999996
125,가양3동,평일,5,-46.13999999999987
126,가양3동,평일,6,-109.06400000000008
127,가양3동,평일,7,-191.22800000000007
128,가양3동,평일,8,2015.6039999999985
129,가양3동,평일,9,405.2560000000003
130,가양3동,평일,10,-604.5120000000002
131,가양3동,평일,11,-745.8179999999998
132,가양3동,평일,12,-498.1879999999992
133,가양3동,평일,13,-172.84199999999964
134,가양3동,평일,14,148.1260000000002
135,가양3동,평일,15,651.4680000000003
136,가양3동,평일,16,429.20400000000063
137,가양3동,평일,17,157.95800000000054
138,가양3동,평일,18,-1733.942
139,가양3동,평일,19,-698.1579999999994
140,가양3동,평일,20,662.8620000000001
141,가양3동,평일,21,1348.7280000000003
142,가양3동,평일,22,1171.5080000000003
143,가양3동,평일,23,695.028
144,공항동,주말,0,187.26500000000033
145,공항동,주말,1,171.3149999999996
146,공항동,주말,2,409.5350000000001
147,공항동,주말,3,324.5450000000001
148,공항동,주말,4,1306.9399999999996
149,공항동,주말,5,4099.764999999999
150,공항동,주말,6,4450.615
151,공항동,주말,7,3610.9199999999983
152,공항동,주말,8,2082.535
153,공항동,주말,9,1410.6299999999992
154,공항동,주말,10,1810.2000000000007
155,공항동,주말,11,1234.1100000000006
156,공항동,주말,12,1845.664999999999
157,공항동,주말,13,1976.6299999999992
158,공항동,주말,14,1159.534999999998
159,공항동,주말,15,-110.71999999999935
160,공항동,주말,16,342.6949999999997
161,공항동,주말,17,616.8199999999997
162,공항동,주말,18,1548.9899999999998
163,공항동,주말,19,534.2100000000028
164,공항동,주말,20,-1778.17
165,공항동,주말,21,-1518.550000000002
166,공항동,주말,22,-1499.33
167,공항동,주말,23,-848.0299999999997
168,공항동,평일,0,-170.44800000000032
169,공항동,평일,1,191.64600000000019
170,공항동,평일,2,287.91599999999994
171,공항동,평일,3,188.76200000000006
172,공항동,평일,4,1411.3239999999998
173,공항동,평일,5,4071.1020000000003
174,공항동,평일,6,5031.32
175,공항동,평일,7,9247.962
176,공항동,평일,8,8638.02
177,공항동,평일,9,3668.344000000001
178,공항동,평일,10,2647.242000000002
179,공항동,평일,11,354.6859999999997
180,공항동,평일,12,5380.507999999998
181,공항동,평일,13,4281.2800000000025
182,공항동,평일,14,1725.8479999999981
183,공항동,평일,15,702.1220000000012
184,공항동,평일,16,767.637999999999
185,공항동,평일,17,-549.1800000000039
186,공항동,평일,18,-4778.6939999999995
187,공항동,평일,19,-5161.389999999999
188,공항동,평일,20,-3492.2740000000013
189,공항동,평일,21,-2144.029999999999
190,공항동,평일,22,-1316.5200000000004
191,공항동,평일,23,-677.1580000000004
192,등촌1동,주말,0,858.4200000000001
193,등촌1동,주말,1,421.74
194,등촌1동,주말,2,371.4100000000001
195,등촌1동,주말,3,222.235
196,등촌1동,주말,4,223.29000000000008
197,등촌1동,주말,5,245.05500000000018
198,등촌1동,주말,6,289.4849999999999
199,등촌1동,주말,7,148.19500000000016
200,등촌1동,주말,8,464.3250000000003
201,등촌1동,주말,9,-269.35000000000036
202,등촌1동,주말,10,-314.8249999999998
203,등촌1동,주말,11,-1451.6949999999997
204,등촌1동,주말,12,-1705.385000000002
205,등촌1동,주말,13,-1162.8500000000004
206,등촌1동,주말,14,-693.1049999999996
207,등촌1동,주말,15,589.7549999999992
208,등촌1동,주말,16,832.8500000000004
209,등촌1동,주말,17,1844.0699999999997
210,등촌1동,주말,18,2686.6899999999987
211,등촌1동,주말,19,3090.819999999999
212,등촌1동,주말,20,2479.865
213,등촌1동,주말,21,2219.34
214,등촌1동,주말,22,1782.7200000000003
215,등촌1동,주말,23,928.685
216,등촌1동,평일,0,801.5720000000001
217,등촌1동,평일,1,289.0699999999997
218,등촌1동,평일,2,145.12200000000007
219,등촌1동,평일,3,18.62999999999988
220,등촌1동,평일,4,239.558
221,등촌1동,평일,5,161.07999999999993
222,등촌1동,평일,6,271.1379999999999
223,등촌1동,평일,7,-1713.0320000000002
224,등촌1동,평일,8,-3041.9040000000005
225,등촌1동,평일,9,-726.746000000001
226,등촌1동,평일,10,83.22199999999975
227,등촌1동,평일,11,928.0080000000016
228,등촌1동,평일,12,729.0419999999976
229,등촌1동,평일,13,57.99799999999959
230,등촌1동,평일,14,278.4999999999982
231,등촌1동,평일,15,1110.522
232,등촌1동,평일,16,1264.912000000002
233,등촌1동,평일,17,1758.6980000000003
234,등촌1동,평일,18,1287.7119999999995
235,등촌1동,평일,19,1935.8340000000007
236,등촌1동,평일,20,2664.888000000001
237,등촌1동,평일,21,2745.460000000001
238,등촌1동,평일,22,2038.8499999999995
239,등촌1동,평일,23,1407.2660000000005
240,등촌2동,주말,0,1270.685
241,등촌2동,주말,1,628.7500000000001
242,등촌2동,주말,2,604.11
243,등촌2동,주말,3,519.98
244,등촌2동,주말,4,166.16500000000002
245,등촌2동,주말,5,-18.319999999999936
246,등촌2동,주말,6,-428.8249999999998
247,등촌2동,주말,7,-852.5150000000001
248,등촌2동,주말,8,-1540.9150000000002
249,등촌2동,주말,9,-2205.395
250,등촌2동,주말,10,-2853.954999999999
251,등촌2동,주말,11,-2399.005
252,등촌2동,주말,12,-1093.29
253,등촌2동,주말,13,-386.4499999999998
254,등촌2동,주말,14,0.4350000000013097
255,등촌2동,주말,15,103.03500000000076
256,등촌2동,주말,16,933.1600000000008
257,등촌2동,주말,17,1326.8050000000003
258,등촌2동,주말,18,1722.6600000000008
259,등촌2동,주말,19,2337.5849999999996
260,등촌2동,주말,20,2392.9350000000004
261,등촌2동,주말,21,2742.044999999999
262,등촌2동,주말,22,1890.6550000000002
263,등촌2동,주말,23,1245.7949999999998
264,등촌2동,평일,0,1128.1480000000001
265,등촌2동,평일,1,566.0
266,등촌2동,평일,2,348.0779999999999
267,등촌2동,평일,3,255.728
268,등촌2동,평일,4,-83.69199999999995
269,등촌2동,평일,5,-436.9480000000001
270,등촌2동,평일,6,-599.358
271,등촌2동,평일,7,-2442.282
272,등촌2동,평일,8,-6211.982000000002
273,등촌2동,평일,9,-4637.615999999999
274,등촌2동,평일,10,-2712.336
275,등촌2동,평일,11,-2101.536
276,등촌2동,평일,12,-368.2000000000007
277,등촌2동,평일,13,-32.384000000000015
278,등촌2동,평일,14,-79.40800000000036
279,등촌2동,평일,15,519.9099999999999
280,등촌2동,평일,16,675.7120000000004
281,등촌2동,평일,17,1810.7380000000012
282,등촌2동,평일,18,3134.930000000001
283,등촌2동,평일,19,4456.83
284,등촌2동,평일,20,3496.81
285,등촌2동,평일,21,3456.068
286,등촌2동,평일,22,2914.744
287,등촌2동,평일,23,1991.3760000000002
288,등촌3동,주말,0,-683.6700000000001
289,등촌3동,주말,1,-148.0999999999999
290,등촌3동,주말,2,117.90000000000009
291,등촌3동,주말,3,122.72499999999991
292,등촌3동,주말,4,1050.5749999999998
293,등촌3동,주말,5,1901.88
294,등촌3동,주말,6,2517.040000000001
295,등촌3동,주말,7,2150.510000000001
296,등촌3동,주말,8,2930.909999999999
297,등촌3동,주말,9,6347.8049999999985
298,등촌3동,주말,10,7945.694999999998
299,등촌3동,주말,11,9629.245
300,등촌3동,주말,12,8673.195
301,등촌3동,주말,13,6286.235000000001
302,등촌3동,주말,14,2644.079999999998
303,등촌3동,주말,15,51.36499999999796
304,등촌3동,주말,16,-287.7250000000022
305,등촌3동,주말,17,-604.8249999999971
306,등촌3동,주말,18,-1691.1599999999999
307,등촌3동,주말,19,-2891.730000000003
308,등촌3동,주말,20,-5241.4450000000015
309,등촌3동,주말,21,-4442.5250000000015
310,등촌3동,주말,22,-4353.510000000001
311,등촌3동,주말,23,-1627.079999999999
312,등촌3동,평일,0,-472.34400000000005
313,등촌3동,평일,1,-80.58599999999979
314,등촌3동,평일,2,-47.59999999999991
315,등촌3동,평일,3,134.76
316,등촌3동,평일,4,911.2400000000001
317,등촌3동,평일,5,2402.082
318,등촌3동,평일,6,3679.254
319,등촌3동,평일,7,6455.547999999999
320,등촌3동,평일,8,7457.0740000000005
321,등촌3동,평일,9,6490.482
322,등촌3동,평일,10,6325.5459999999985
323,등촌3동,평일,11,6918.963999999996
324,등촌3동,평일,12,5735.992000000002
325,등촌3동,평일,13,4093.2980000000025
326,등촌3동,평일,14,1265.1940000000031
327,등촌3동,평일,15,581.1079999999965
328,등촌3동,평일,16,-544.8919999999998
329,등촌3동,평일,17,-363.2540000000008
330,등촌3동,평일,18,-1883.2379999999976
331,등촌3동,평일,19,-2920.1660000000047
332,등촌3동,평일,20,-3134.1180000000004
333,등촌3동,평일,21,-4427.289999999999
334,등촌3동,평일,22,-3695.5399999999972
335,등촌3동,평일,23,-1318.9700000000003
336,발산1동,주말,0,1259.8649999999998
337,발산1동,주말,1,894.815
338,발산1동,주말,2,809.5899999999997
339,발산1동,주말,3,662.6949999999998
340,발산1동,주말,4,743.935
341,발산1동,주말,5,891.6699999999998
342,발산1동,주말,6,1080.0600000000004
343,발산1동,주말,7,1230.665
344,발산1동,주말,8,1739.8900000000003
345,발산1동,주말,9,566.9050000000007
346,발산1동,주말,10,-759.6049999999996
347,발산1동,주말,11,-1579.550000000001
348,발산1동,주말,12,-1546.6849999999995
349,발산1동,주말,13,-235.0599999999995
350,발산1동,주말,14,494.1849999999995
351,발산1동,주말,15,916.8849999999984
352,발산1동,주말,16,1469.2250000000004
353,발산1동,주말,17,2035.5599999999977
354,발산1동,주말,18,903.7799999999988
355,발산1동,주말,19,1734.1450000000004
356,발산1동,주말,20,1995.8050000000003
357,발산1동,주말,21,2213.2199999999993
358,발산1동,주말,22,1850.9250000000002
359,발산1동,주말,23,887.935
360,발산1동,평일,0,985.8220000000001
361,발산1동,평일,1,812.904
362,발산1동,평일,2,750.3800000000001
363,발산1동,평일,3,848.4499999999999
364,발산1동,평일,4,696.0720000000001
365,발산1동,평일,5,1028.42
366,발산1동,평일,6,2055.4840000000004
367,발산1동,평일,7,4244.492
368,발산1동,평일,8,2874.315999999999
369,발산1동,평일,9,2861.1580000000013
370,발산1동,평일,10,1888.1459999999988
371,발산1동,평일,11,99.10399999999936
372,발산1동,평일,12,-411.5659999999989
373,발산1동,평일,13,2279.4519999999993
374,발산1동,평일,14,1853.9719999999998
375,발산1동,평일,15,672.1780000000017
376,발산1동,평일,16,-648.6640000000007
377,발산1동,평일,17,-2672.3559999999998
378,발산1동,평일,18,-1203.7800000000025
379,발산1동,평일,19,784.9200000000019
380,발산1동,평일,20,1386.2759999999998
381,발산1동,평일,21,1863.4000000000015
382,발산1동,평일,22,1629.326
383,발산1동,평일,23,1330.9839999999995
384,방화1동,주말,0,1376.0549999999996
385,방화1동,주말,1,502.3249999999998
386,방화1동,주말,2,385.405
387,방화1동,주말,3,253.9999999999999
388,방화1동,주말,4,192.70000000000005
389,방화1동,주말,5,218.86000000000013
390,방화1동,주말,6,-102.4350000000004
391,방화1동,주말,7,-545.3300000000004
392,방화1동,주말,8,654.7600000000002
393,방화1동,주말,9,306.6700000000001
394,방화1동,주말,10,-138.42999999999847
395,방화1동,주말,11,-826.8649999999998
396,방화1동,주말,12,48.20499999999993
397,방화1동,주말,13,-636.2749999999996
398,방화1동,주말,14,277.4449999999997
399,방화1동,주말,15,1088.5900000000001
400,방화1동,주말,16,1216.8750000000018
401,방화1동,주말,17,2058.8150000000005
402,방화1동,주말,18,2842.245000000001
403,방화1동,주말,19,2593.6500000000005
404,방화1동,주말,20,2538.620000000001
405,방화1동,주말,21,2467.59
406,방화1동,주말,22,2060.135
407,방화1동,주말,23,1352.6350000000002
408,방화1동,평일,0,1027.2360000000003
409,방화1동,평일,1,278.13200000000006
410,방화1동,평일,2,205.92000000000007
411,방화1동,평일,3,103.49800000000005
412,방화1동,평일,4,14.854000000000042
413,방화1동,평일,5,-221.11199999999985
414,방화1동,평일,6,-839.8720000000003
415,방화1동,평일,7,-2431.8360000000002
416,방화1동,평일,8,-6933.475999999997
417,방화1동,평일,9,-3681.8379999999997
418,방화1동,평일,10,-914.6800000000003
419,방화1동,평일,11,677.8079999999991
420,방화1동,평일,12,611.7480000000014
421,방화1동,평일,13,985.982
422,방화1동,평일,14,1787.0680000000011
423,방화1동,평일,15,2731.137999999999
424,방화1동,평일,16,2479.9760000000006
425,방화1동,평일,17,3810.2259999999987
426,방화1동,평일,18,5823.938
427,방화1동,평일,19,4594.974
428,방화1동,평일,20,3075.424000000001
429,방화1동,평일,21,2777.1680000000015
430,방화1동,평일,22,2552.2619999999997
431,방화1동,평일,23,1884.842
432,방화2동,주말,0,-1018.1200000000003
433,방화2동,주말,1,-295.5999999999999
434,방화2동,주말,2,-100.59500000000003
435,방화2동,주말,3,14.63000000000011
436,방화2동,주말,4,430.64999999999986
437,방화2동,주말,5,625.8050000000001
438,방화2동,주말,6,1520.1850000000004
439,방화2동,주말,7,1546.1050000000005
440,방화2동,주말,8,661.8649999999998
441,방화2동,주말,9,2629.800000000001
442,방화2동,주말,10,6054.629999999998
443,방화2동,주말,11,9149.455
444,방화2동,주말,12,9012.865000000002
445,방화2동,주말,13,8738.099999999999
446,방화2동,주말,14,7512.679999999997
447,방화2동,주말,15,4440.645
448,방화2동,주말,16,657.6049999999959
449,방화2동,주말,17,-2887.8899999999994
450,방화2동,주말,18,-4910.135
451,방화2동,주말,19,-5231.234999999999
452,방화2동,주말,20,-5926.16
453,방화2동,주말,21,-5431.220000000001
454,방화2동,주말,22,-3943.1800000000003
455,방화2동,주말,23,-2348.9950000000003
456,방화2동,평일,0,-794.4920000000002
457,방화2동,평일,1,-177.3059999999998
458,방화2동,평일,2,-130.62199999999996
459,방화2동,평일,3,45.02600000000007
460,방화2동,평일,4,487.84400000000005
461,방화2동,평일,5,297.0400000000002
462,방화2동,평일,6,1484.462000000001
463,방화2동,평일,7,1762.4760000000006
464,방화2동,평일,8,14.16400000000067
465,방화2동,평일,9,663.6380000000026
466,방화2동,평일,10,3776.3680000000013
467,방화2동,평일,11,6305.5599999999995
468,방화2동,평일,12,5007.385999999999
469,방화2동,평일,13,3833.866000000002
470,방화2동,평일,14,3075.348000000002
471,방화2동,평일,15,1550.7339999999986
472,방화2동,평일,16,-8.886000000000422
473,방화2동,평일,17,-640.960000000001
474,방화2동,평일,18,401.8780000000006
475,방화2동,평일,19,39.123999999999796
476,방화2동,평일,20,-1990.5439999999999
477,방화2동,평일,21,-2228.1440000000002
478,방화2동,평일,22,-1636.4560000000001
479,방화2동,평일,23,-854.5420000000004
480,방화3동,주말,0,1128.8599999999997
481,방화3동,주말,1,459.1450000000002
482,방화3동,주말,2,330.6849999999999
483,방화3동,주말,3,210.03500000000008
